p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
ZNF385B	0	1.2038295586118	0.594	0.009	0	AT2	ZNF385B
BMP1	0	1.19921591136704	0.541	0.017	0	AT2	BMP1
ABCD3	0	1.19640577350311	0.717	0.078	0	AT2	ABCD3
PTPN13	0	1.18538705618889	0.629	0.029	0	AT2	PTPN13
LMO3	0	1.17782692309483	0.626	0.021	0	AT2	LMO3
EFNA1	0	1.16861356032718	0.748	0.07	0	AT2	EFNA1
STEAP4	0	1.16859576678362	0.379	0.015	0	AT2	STEAP4
FASN	0	1.15981200451929	0.585	0.041	0	AT2	FASN
DBI	0	1.15348645367791	0.927	0.466	0	AT2	DBI
MID1IP1	0	1.14338712148525	0.729	0.19	0	AT2	MID1IP1
PPP1R14C	0	1.14336213872843	0.589	0.022	0	AT2	PPP1R14C
KITLG	0	1.1429369070042	0.649	0.045	0	AT2	KITLG
TCN2	0	1.14250709059369	0.645	0.051	0	AT2	TCN2
KIAA1324L	0	1.13135625349162	0.651	0.04	0	AT2	KIAA1324L
BCAT1	0	1.128838297687	0.585	0.033	0	AT2	BCAT1
SERPINE2	0	1.12690578302535	0.564	0.031	0	AT2	SERPINE2
CA8	0	1.12225396846065	0.557	0.01	0	AT2	CA8
DOK4	0	1.11962627809181	0.692	0.051	0	AT2	DOK4
CMBL	0	1.11944151656124	0.71	0.117	0	AT2	CMBL
CST6	0	1.11896852807747	0.608	0.069	0	AT2	CST6
FGFR2	0	1.11712024258186	0.558	0.009	0	AT2	FGFR2
TMEM243	0	1.10374109043146	0.8	0.207	0	AT2	TMEM243
MYLK	0	1.09707264656341	0.79	0.094	0	AT2	MYLK
PPDPF	0	1.09125971631129	0.974	0.571	0	AT2	PPDPF
CRB3	0	1.08680087689236	0.624	0.026	0	AT2	CRB3
LAMB3	0	1.07168853798887	0.624	0.027	0	AT2	LAMB3
MALL	0	1.07119662700642	0.555	0.026	0	AT2	MALL
RWDD4	0	1.06374407247215	0.715	0.159	0	AT2	RWDD4
MT1E	0	1.06091132524561	0.971	0.499	0	AT2	MT1E
MTCH1	0	1.05924629339881	0.913	0.381	0	AT2	MTCH1
HSDL2	0	1.05696780307632	0.665	0.117	0	AT2	HSDL2
MYH14	0	1.03797176315105	0.602	0.075	0	AT2	MYH14
MPST	0	1.0367961457584	0.79	0.244	0	AT2	MPST
CSRP1	0	1.03656341633546	0.885	0.27	0	AT2	CSRP1
AQP5	0	1.03194028416747	0.414	0.028	0	AT2	AQP5
RNF145	0	1.02771112203122	0.81	0.213	0	AT2	RNF145
CADPS2	0	1.02584055179773	0.622	0.037	0	AT2	CADPS2
AKAP1	0	1.02441744120483	0.626	0.073	0	AT2	AKAP1
BOK	0	1.02370249219449	0.565	0.032	0	AT2	BOK
FOXA2	0	1.01382521714027	0.574	0.023	0	AT2	FOXA2
S100P	0	1.01166825980358	0.498	0.066	0	AT2	S100P
LSR	0	1.00879582578811	0.606	0.035	0	AT2	LSR
SCP2	0	1.00875751529866	0.897	0.38	0	AT2	SCP2
MAOA	0	1.00872567489561	0.834	0.173	0	AT2	MAOA
MTUS1	0	1.00795650366671	0.768	0.094	0	AT2	MTUS1
PLA1A	0	0.998677281153768	0.553	0.041	0	AT2	PLA1A
GPD1L	0	0.979687682396455	0.646	0.112	0	AT2	GPD1L
IRX3	0	0.978719226902694	0.497	0.01	0	AT2	IRX3
TSC22D1	0	0.975958120555469	0.886	0.267	0	AT2	TSC22D1
ERRFI1	0	0.97100433408954	0.543	0.036	0	AT2	ERRFI1
STARD10	0	0.957032105230422	0.543	0.03	0	AT2	STARD10
TMPRSS2	0	0.952690111279125	0.527	0.018	0	AT2	TMPRSS2
LGI3	0	0.940787146847249	0.484	0.002	0	AT2	LGI3
PARM1	0	0.938401307636738	0.528	0.024	0	AT2	PARM1
NPR1	0	0.936960991895977	0.665	0.065	0	AT2	NPR1
PADI2	0	0.932478853647252	0.492	0.04	0	AT2	PADI2
ENSMMUG00000050855	0	0.922268566038279	0.118	0.001	0	AT2	ENSMMUG00000050855
GALM	0	0.92062162238501	0.599	0.086	0	AT2	GALM
ST3GAL5	0	0.919234101143684	0.566	0.067	0	AT2	ST3GAL5
SBSPON	0	0.918441417423919	0.566	0.032	0	AT2	SBSPON
ERG28	0	0.911898276947871	0.634	0.093	0	AT2	ERG28
RBL2	0	0.911567890736023	0.727	0.184	0	AT2	RBL2
ECEL1	0	0.909679821309569	0.429	0.002	0	AT2	ECEL1
CD36	0	0.90886302716948	0.838	0.219	0	AT2	CD36
MPP3	0	0.90629636044378	0.529	0.024	0	AT2	MPP3
ENSMMUG00000012273	0	0.900890043585789	0.633	0.088	0	AT2	ENSMMUG00000012273
TMEM38B	0	0.898016651461477	0.586	0.09	0	AT2	TMEM38B
NKX6-2	0	0.897601105351516	0.163	0.003	0	AT2	NKX6-2
FAM20A	0	0.893246578358546	0.418	0.008	0	AT2	FAM20A
ANK3	0	0.890429267211338	0.486	0.014	0	AT2	ANK3
C4BPA	0	0.890374569093836	0.425	0.009	0	AT2	C4BPA
MSMO1	0	0.887242156479337	0.607	0.107	0	AT2	MSMO1
UNC13B	0	0.886163184035195	0.516	0.03	0	AT2	UNC13B
RORC	0	0.883954824619419	0.526	0.021	0	AT2	RORC
INSIG1	0	0.883485966109094	0.712	0.147	0	AT2	INSIG1
PDZK1IP1	0	0.881726371207071	0.703	0.068	0	AT2	PDZK1IP1
IL13RA1	0	0.881194949690468	0.771	0.216	0	AT2	IL13RA1
MYBPHL	0	0.878849720914151	0.448	0.004	0	AT2	MYBPHL
ENSMMUG00000022127	0	0.878368823622011	0.519	0.027	0	AT2	ENSMMUG00000022127
PERP	0	0.875323642033933	0.597	0.043	0	AT2	PERP
GSTT1	0	0.87436635018323	0.66	0.078	0	AT2	GSTT1
UCN3	0	0.86907462307306	0.309	0.001	0	AT2	UCN3
PRSS22	0	0.867744410340346	0.496	0.02	0	AT2	PRSS22
CYFIP2	0	0.860521205420965	0.783	0.204	0	AT2	CYFIP2
CSF2	0	0.858774886001326	0.355	0.003	0	AT2	CSF2
BSPRY	0	0.858258228269611	0.454	0.009	0	AT2	BSPRY
EGR1	0	0.857453348672425	0.571	0.171	0	AT2	EGR1
VEPH1	0	0.839477856566074	0.458	0.015	0	AT2	VEPH1
KRIT1	0	0.83297385308243	0.655	0.167	0	AT2	KRIT1
QSOX1	0	0.832848592252086	0.769	0.242	0	AT2	QSOX1
ID4	0	0.830220893096396	0.669	0.081	0	AT2	ID4
PIGR	0	0.830186944680289	0.407	0.01	0	AT2	PIGR
GRB7	0	0.820245941001964	0.445	0.016	0	AT2	GRB7
EBPL	0	0.819560973692876	0.645	0.141	0	AT2	EBPL
SDC1	0	0.819040342239786	0.504	0.023	0	AT2	SDC1
AADAT	0	0.818217706807822	0.409	0.007	0	AT2	AADAT
GSTA4	0	0.81526930418716	0.533	0.043	0	AT2	GSTA4
PXMP4	0	0.813716941168386	0.607	0.129	0	AT2	PXMP4
ENTPD3	0	0.811656163903388	0.397	0.019	0	AT2	ENTPD3
PIP5K1B	0	0.811303369006979	0.529	0.051	0	AT2	PIP5K1B
ZNF506	0	0.811152891502011	0.66	0.163	0	AT2	ZNF506
PRKAB1	0	0.808434291793387	0.649	0.137	0	AT2	PRKAB1
RAC3	0	0.807607196001502	0.471	0.026	0	AT2	RAC3
RASL11A	0	0.804494094050089	0.551	0.081	0	AT2	RASL11A
BMP3	0	0.803764468167051	0.443	0.017	0	AT2	BMP3
CXADR	0	0.793542569944206	0.555	0.054	0	AT2	CXADR
TBC1D25	0	0.791630728527529	0.658	0.212	0	AT2	TBC1D25
NIM1K	0	0.790799731515418	0.438	0.008	0	AT2	NIM1K
DIO1	0	0.78819589698467	0.424	0.003	0	AT2	DIO1
DSTN	0	0.787350716479546	0.972	0.542	0	AT2	DSTN
SECISBP2L	0	0.786800058381187	0.667	0.156	0	AT2	SECISBP2L
HMGN3	0	0.786212507902229	0.833	0.277	0	AT2	HMGN3
NPNT	0	0.783888915422602	0.522	0.036	0	AT2	NPNT
NET1	0	0.780129392535253	0.717	0.158	0	AT2	NET1
IFT57	0	0.779571895991196	0.548	0.125	0	AT2	IFT57
ASAH1	0	0.777123873202721	0.865	0.306	0	AT2	ASAH1
ACSS3	0	0.771862578977149	0.43	0.009	0	AT2	ACSS3
IRX5	0	0.766756337339073	0.424	0.01	0	AT2	IRX5
HYI	0	0.764834351226182	0.838	0.334	0	AT2	HYI
TMEM87A	0	0.758729672052442	0.747	0.217	0	AT2	TMEM87A
TMEM97	0	0.757943297742616	0.574	0.107	0	AT2	TMEM97
FGGY	0	0.757848743059924	0.424	0.026	0	AT2	FGGY
PRDX5	0	0.75765890177854	0.92	0.435	0	AT2	PRDX5
IGFBP3	0	0.757071012143849	0.405	0.016	0	AT2	IGFBP3
PRDX2	0	0.752550477723666	0.714	0.105	0	AT2	PRDX2
CD320	0	0.750763068271406	0.815	0.327	0	AT2	CD320
AQP4	0	0.749524246225737	0.462	0.031	0	AT2	AQP4
ZC3H10	0	0.748682426578025	0.857	0.508	0	AT2	ZC3H10
MLF1	0	0.748438393949084	0.413	0.017	0	AT2	MLF1
ENSMMUG00000047259	0	0.742962701482315	0.404	0.011	0	AT2	ENSMMUG00000047259
AP1M2	0	0.742407650898349	0.458	0.014	0	AT2	AP1M2
SMAGP	0	0.741262809454967	0.45	0.021	0	AT2	SMAGP
LDHB	0	0.738054530125648	0.552	0.233	0	AT2	LDHB
PTPRF	0	0.736687557686085	0.51	0.037	0	AT2	PTPRF
KCNJ15	0	0.736408940106495	0.406	0.018	0	AT2	KCNJ15
TKT	0	0.734770095232171	0.914	0.395	0	AT2	TKT
MSANTD3-TMEFF1	0	0.734253270218872	0.446	0.018	0	AT2	MSANTD3-TMEFF1
ENSMMUG00000047481	0	0.733853153340296	0.955	0.534	0	AT2	ENSMMUG00000047481
KLHL8	0	0.730136497713622	0.462	0.041	0	AT2	KLHL8
TBC1D16	0	0.730071602350287	0.49	0.055	0	AT2	TBC1D16
PRR15L	0	0.729921795062822	0.406	0.01	0	AT2	PRR15L
COBLL1	0	0.727885527121038	0.636	0.077	0	AT2	COBLL1
TMEM176B	0	0.72632044167851	0.696	0.111	0	AT2	TMEM176B
CDS1	0	0.72572332587364	0.4	0.008	0	AT2	CDS1
TMEM63B	0	0.723065303325224	0.498	0.073	0	AT2	TMEM63B
FBXW4	0	0.722069833657461	0.572	0.096	0	AT2	FBXW4
CUTA	0	0.721245750885328	0.791	0.275	0	AT2	CUTA
SMAD9	0	0.721107030868434	0.51	0.058	0	AT2	SMAD9
SYPL1	0	0.720256452897616	0.83	0.265	0	AT2	SYPL1
TMEM163	0	0.719542166081337	0.414	0.015	0	AT2	TMEM163
FKBP4	0	0.717734592594951	0.657	0.179	0	AT2	FKBP4
PC	0	0.713675359180307	0.433	0.026	0	AT2	PC
IL33	0	0.713108493594154	0.531	0.096	0	AT2	IL33
PDCD4	0	0.713042440427231	0.717	0.204	0	AT2	PDCD4
CCDC190	0	0.707939792024955	0.377	0.002	0	AT2	CCDC190
RAB25	0	0.70698352742025	0.401	0.009	0	AT2	RAB25
IL1R1	0	0.69924010321857	0.586	0.066	0	AT2	IL1R1
HIGD2A	0	0.696660931696966	0.803	0.309	0	AT2	HIGD2A
NTN4	0	0.695978959207105	0.498	0.043	0	AT2	NTN4
FBP1	0	0.695803924847851	0.439	0.027	0	AT2	FBP1
FRMD4B	0	0.69155935987248	0.592	0.128	0	AT2	FRMD4B
MUC20	0	0.691280786174984	0.399	0.014	0	AT2	MUC20
MAPK13	0	0.689543055063721	0.44	0.02	0	AT2	MAPK13
RAP1GAP	0	0.689067800109327	0.368	0.003	0	AT2	RAP1GAP
CDH3	0	0.687246317804869	0.385	0.006	0	AT2	CDH3
PLXNA2	0	0.686934419274175	0.501	0.044	0	AT2	PLXNA2
TST	0	0.686226547079854	0.501	0.07	0	AT2	TST
SRD5A3	0	0.684972910384883	0.505	0.062	0	AT2	SRD5A3
EPHX2	0	0.683298240313781	0.431	0.019	0	AT2	EPHX2
SAT2	0	0.683041154341695	0.695	0.201	0	AT2	SAT2
NT5E	0	0.682828781849283	0.417	0.012	0	AT2	NT5E
TANC2	0	0.680162298670239	0.479	0.067	0	AT2	TANC2
ACP5	0	0.679019577167146	0.54	0.115	0	AT2	ACP5
RABGAP1L	0	0.678907566423546	0.755	0.254	0	AT2	RABGAP1L
PDLIM3	0	0.677530270861185	0.577	0.091	0	AT2	PDLIM3
FDFT1	0	0.675679970762436	0.703	0.252	0	AT2	FDFT1
C5orf38	0	0.674023371779392	0.372	0.011	0	AT2	C5orf38
BNIP3	0	0.67119029487061	0.452	0.039	0	AT2	BNIP3
ARSJ	0	0.666769721631865	0.417	0.017	0	AT2	ARSJ
ACSL1	0	0.664758326304378	0.474	0.09	0	AT2	ACSL1
GJA1	0	0.658032865296498	0.383	0.025	0	AT2	GJA1
ENSMMUG00000005959	0	0.656775168288572	0.419	0.088	0	AT2	ENSMMUG00000005959
F11R	0	0.654772855998866	0.666	0.15	0	AT2	F11R
COX17	0	0.653455896254672	0.861	0.377	0	AT2	COX17
CTSC	0	0.65004692753502	0.879	0.338	0	AT2	CTSC
S100A16	0	0.645168509442842	0.696	0.107	0	AT2	S100A16
FADS1	0	0.641656707274029	0.614	0.102	0	AT2	FADS1
ENSMMUG00000055841	0	0.641597514342372	0.157	0.001	0	AT2	ENSMMUG00000055841
SGPP2	0	0.640570418632408	0.349	0.003	0	AT2	SGPP2
CLMP	0	0.637915567556125	0.294	0.005	0	AT2	CLMP
ANG	0	0.636865759853802	0.704	0.175	0	AT2	ANG
PHPT1	0	0.631468053761891	0.817	0.333	0	AT2	PHPT1
GPRC5C	0	0.628052580193502	0.511	0.043	0	AT2	GPRC5C
EEF1A1	0	0.626285398760289	0.999	0.952	0	AT2	EEF1A1
BEX2	0	0.621013325186693	0.396	0.034	0	AT2	BEX2
ISCA2	0	0.620889333879005	0.563	0.139	0	AT2	ISCA2
RHOD	0	0.620814914482438	0.427	0.026	0	AT2	RHOD
FAM189A2	0	0.616494843501127	0.459	0.038	0	AT2	FAM189A2
TSPAN12	0	0.616454805639312	0.722	0.102	0	AT2	TSPAN12
LDLR	0	0.615598407257855	0.373	0.033	0	AT2	LDLR
BAMBI	0	0.613535195341958	0.431	0.052	0	AT2	BAMBI
BRI3	0	0.612087695597515	0.97	0.539	0	AT2	BRI3
LGMN	0	0.611589098669383	0.748	0.227	0	AT2	LGMN
EMID1	0	0.608324698305702	0.456	0.034	0	AT2	EMID1
ENSMMUG00000049460	0	0.60727005553179	0.345	0.013	0	AT2	ENSMMUG00000049460
GALNT5	0	0.606830391877587	0.351	0.012	0	AT2	GALNT5
GXYLT2	0	0.604401098166534	0.343	0.007	0	AT2	GXYLT2
HP	0	0.603705324476439	0.236	0.054	0	AT2	HP
ARHGEF28	0	0.603501865854708	0.455	0.082	0	AT2	ARHGEF28
MECOM	0	0.601919320322298	0.377	0.016	0	AT2	MECOM
SCN1B	0	0.599125549950305	0.503	0.064	0	AT2	SCN1B
IDI1	0	0.598001141200229	0.4	0.048	0	AT2	IDI1
NFIX	0	0.596997837369679	0.42	0.037	0	AT2	NFIX
SPG21	0	0.596951729339273	0.749	0.282	0	AT2	SPG21
STXBP1	0	0.596596674561396	0.573	0.069	0	AT2	STXBP1
ISOC2	0	0.59253716979068	0.471	0.058	0	AT2	ISOC2
DEPTOR	0	0.592237679949037	0.372	0.032	0	AT2	DEPTOR
TMEM98	0	0.590990058150458	0.488	0.05	0	AT2	TMEM98
RASSF7	0	0.588608303826386	0.524	0.09	0	AT2	RASSF7
PIPOX	0	0.587470150480492	0.327	0.009	0	AT2	PIPOX
ACAD10	0	0.587273827203624	0.928	0.383	0	AT2	ACAD10
HOOK1	0	0.585349811209564	0.362	0.014	0	AT2	HOOK1
CERS2	0	0.578626454196024	0.665	0.207	0	AT2	CERS2
SQSTM1	0	0.577749279502401	0.917	0.534	0	AT2	SQSTM1
PPP2R5A	0	0.577449018819519	0.562	0.114	0	AT2	PPP2R5A
TSPAN13	0	0.577399678718769	0.491	0.05	0	AT2	TSPAN13
PPP1R1A	0	0.576541900567358	0.32	0.012	0	AT2	PPP1R1A
CAMSAP3	0	0.57650490947909	0.342	0.009	0	AT2	CAMSAP3
ASPH	0	0.573930160080669	0.648	0.163	0	AT2	ASPH
RRP9	0	0.573170530097361	0.384	0.06	0	AT2	RRP9
CMTM8	0	0.57255521912469	0.381	0.024	0	AT2	CMTM8
WWC1	0	0.572120800648369	0.346	0.014	0	AT2	WWC1
TMEM14B	0	0.5689835886718	0.95	0.631	0	AT2	TMEM14B
STEAP2	0	0.5669461544756	0.306	0.004	0	AT2	STEAP2
ZDHHC3	0	0.566274642295113	0.689	0.233	0	AT2	ZDHHC3
S100A1	0	0.564154807652188	0.278	0.016	0	AT2	S100A1
RASEF	0	0.561994498251252	0.335	0.006	0	AT2	RASEF
ATP5MC2	0	0.55878966700389	0.974	0.69	0	AT2	ATP5MC2
COL4A5	0	0.556470952393203	0.372	0.022	0	AT2	COL4A5
ECHDC3	0	0.555646070485761	0.489	0.051	0	AT2	ECHDC3
NSA2	0	0.55486862657047	0.902	0.446	0	AT2	NSA2
TM7SF2	0	0.551399804327957	0.36	0.022	0	AT2	TM7SF2
ENSMMUG00000012843	0	0.551132465100475	0.477	0.089	0	AT2	ENSMMUG00000012843
NUDT16	0	0.551034126946335	0.657	0.222	0	AT2	NUDT16
KIF21A	0	0.550660417636421	0.37	0.03	0	AT2	KIF21A
TAGLN2	0	0.549044285233675	0.983	0.795	0	AT2	TAGLN2
MFAP3L	0	0.548552207592532	0.327	0.007	0	AT2	MFAP3L
ITGB6	0	0.54753069462706	0.337	0.012	0	AT2	ITGB6
ENSMMUG00000065139	0	0.547204172951528	0.331	0.014	0	AT2	ENSMMUG00000065139
ARFGEF3	0	0.54718948736982	0.353	0.013	0	AT2	ARFGEF3
SLC7A8	0	0.546841938473327	0.347	0.047	0	AT2	SLC7A8
TCEA3	0	0.546516824061982	0.372	0.026	0	AT2	TCEA3
GRAMD2A	0	0.546254752336641	0.352	0.018	0	AT2	GRAMD2A
NIBAN2	0	0.54499365768034	0.492	0.107	0	AT2	NIBAN2
NDUFA4	0	0.541520061718334	0.955	0.588	0	AT2	NDUFA4
RNASE4	0	0.540965569897668	0.868	0.352	0	AT2	RNASE4
RBM47	0	0.540203801572231	0.42	0.093	0	AT2	RBM47
SPIRE1	0	0.53864987401705	0.39	0.059	0	AT2	SPIRE1
ABHD2	0	0.537625047044544	0.556	0.175	0	AT2	ABHD2
ASPSCR1	0	0.536304640475896	0.571	0.151	0	AT2	ASPSCR1
SLC39A4	0	0.532429195028021	0.31	0.024	0	AT2	SLC39A4
MVD	0	0.530874860732534	0.437	0.101	0	AT2	MVD
CDCA7L	0	0.530418762972347	0.401	0.059	0	AT2	CDCA7L
SLC6A14	0	0.528006355190485	0.261	0.006	0	AT2	SLC6A14
PGS1	0	0.52675988674102	0.543	0.135	0	AT2	PGS1
CERS4	0	0.525362760754431	0.338	0.012	0	AT2	CERS4
GALNT12	0	0.52535315746482	0.462	0.123	0	AT2	GALNT12
ENPP5	0	0.523289664649515	0.363	0.023	0	AT2	ENPP5
PRKCQ	0	0.521640497308469	0.484	0.07	0	AT2	PRKCQ
UNC5CL	0	0.521094871018211	0.302	0.007	0	AT2	UNC5CL
SCTR	0	0.519641836751599	0.278	0.007	0	AT2	SCTR
